Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Current Grants to Local Authorities,EMI - OND,COPELAND BOROUGH COUNCIL,4027729,"676,399.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Publications,EMI - Energy Development,SWEET NEWS,4027736,"1,000.35"
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Application Support Service,Operations - Finance and Procurement,FIVIUM LTD,4027737,"1,592.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4027739,"3,600.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Aug-2011,External Training,Operations - HR,AEA TECHNOLOGY plc,4027740,"5,406.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4027741,"2,942.28"
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Performance and Planning,OFFICE ANGELS LTD,4027743,886.36
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,OFFICE ANGELS LTD,4027745,592.27
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,OFFICE ANGELS LTD,4027747,612.84
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,OFFICE ANGELS LTD,4027748,567.6
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Standard Desktop Services,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4027749,"22,667.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Senior Civil Service Training,EMI - EMI DG Office,GEEMA CONSULTING,4027751,"5,400.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Standard Desktop Services,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4027756,"9,708.97"
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Standard Desktop Services,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4027757,"6,385.14"
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Standard Desktop Services,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4027758,"5,706.56"
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Aug-2011,International Subscriptions,ICCEE - International Climate Change,UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE,4027760,"144,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,International Subscriptions,ICCEE - International Climate Change,UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE,4027761,"263,070.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Aug-2011,Telecommunications (Programme),ICCEE - Fuel Poverty & Smart Meters,CESG,4027762,"22,504.68"
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Aug-2011,Hire of Office Equipment,Operations - Finance and Procurement,COPIERTEC LTD,4027763,766.58
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Aug-2011,Hire of Conference Facilities (Programme),ICCEE - Fuel Poverty & Smart Meters,IET SERVICES LTD T/A THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,4027764,999
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Aug-2011,Hire of Conference Facilities (Programme),ICCEE - Fuel Poverty & Smart Meters,IET SERVICES LTD T/A THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,4027765,558
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Aug-2011,Hire of Conference Facilities (Programme),ICCEE - Fuel Poverty & Smart Meters,IET SERVICES LTD T/A THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,4027767,506.4
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Aug-2011,Hire of Conference Facilities (Programme),ICCEE - Fuel Poverty & Smart Meters,IET SERVICES LTD T/A THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,4027768,874.8
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Aug-2011,External Training (Programme),EMI - Energy Development,PETROFAC TRAINING LTD,4027770,"3,305.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Aug-2011,Telecommunications (Programme),ICCEE - Fuel Poverty & Smart Meters,CESG,4027772,"5,409.29"
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Research & Development Expenditure (Programme),SEG Including Strategy - Energy Innovation Policy,AEA TECHNOLOGY plc,4027775,"44,245.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Aug-2011,Application Development,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4027778,"3,656.73"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,Other Staff Costs,ICCEE - International Climate Change,LINDORFF AS,4027784,661.45
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Other Staff Costs,Operations - HR,CYCLESCHEME LTD,4027785,824.99
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,Hospitality - UK,ICCEE - Heat & Industry,CABINET OFFICE,4027786,851.37
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,Technical Advice / Services & Support,ICCEE - Fuel Poverty & Smart Meters,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4027787,"22,481.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,Technical Advice / Services & Support,ICCEE - Fuel Poverty & Smart Meters,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4027788,"33,501.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,Technical Advice / Services & Support,ICCEE - Fuel Poverty & Smart Meters,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4027789,"60,959.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,Secondees (not paid directly),SEG Including Strategy - CSA - Private Office & Director,UNIVERSITY OF CAMBRIDGE,4027790,"11,921.25"
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Aug-2011,Amount owed by DECC to BIS for recharged services,Central Budgets - Central Budgets,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4027792,"73,842.55"
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,XCHANGETEAM GROUP LTD,4027793,707.04
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,XCHANGETEAM GROUP LTD,4027794,883.8
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,XCHANGETEAM GROUP LTD,4027795,883.8
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,XCHANGETEAM GROUP LTD,4027796,883.8
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Outsourced Technical Support (Programme),SEG Including Strategy - Energy Innovation Policy,UNIVERSITY OF OXFORD,4027797,764.83
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Furniture,Operations - Finance and Procurement,SENATOR INTERNATIONAL LTD,4027814,"2,346.48"
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Project Management Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,ELAN COMPUTING LTD,4027815,"3,392.43"
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Project Management Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,ELAN COMPUTING LTD,4027816,"3,573.49"
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Project Management Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,ELAN COMPUTING LTD,4027817,"3,468.67"
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Project Management Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,ELAN COMPUTING LTD,4027819,"8,614.49"
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Aug-2011,Outsourced Technical Support (Programme),SEG Including Strategy - Energy Innovation Policy,AEA TECHNOLOGY plc,4027821,"10,763.44"
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Hospitality - UK,Operations - Performance and Planning,IFG ENTERPRISES LTD,4027822,737.4
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Standard Desktop Services,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4027823,"4,007.52"
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Car Hire and Leasing,Private Office - Private Office,GOVERNMENT CAR AND DESPATCH AGENCY,4027827,630
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Private Office - Private Office,MANPOWER UK LTD,4027828,"1,008.84"
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Aug-2011,Hire of Agency Staff (Professional/Management),Private Office - Private Office,ADECCO UK LTD,4027829,765.07
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,Hire of IT Equipment (Programme),EMI - Energy Development,AVC CREATIVE LTD,4027840,"7,550.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,Capital Grants - Other,EMI - ORED,JDR CABLE SYSTEMS LTD,4027845,"379,711.63"
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,Professional Subscriptions,Operations - HR,INSTITUTE FOR EMPLOYMENT STUDIES,4027846,"5,875.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,Administration of Grants and Awards,EMI - Energy Development,THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,4027847,"130,381.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - OND,BROOK STREET (UK) LTD,4027848,787.54
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - OND,BROOK STREET (UK) LTD,4027849,501.16
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - OND,BROOK STREET (UK) LTD,4027850,749.35
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - OND,BROOK STREET (UK) LTD,4027851,682.54
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - OND,BROOK STREET (UK) LTD,4027852,696.85
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,Research & Development Expenditure (Programme),Operations - Economics,PAUL WATKISS ASSOCIATES LTD,4027858,"1,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,Project Management Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,CAMBRIDGE ECONOMIC POLICY ASSOCIATES LTD,4027859,"13,260.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,Hotels (Programme),EMI - OND,MWB BUSINESS EXCHANGE CENTRES LTD,4027861,630
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,Technical Advice / Services & Support,EMI - OND,CABINET OFFICE,4027866,"4,950.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,Salaries - Secondees (Programme),EMI - OND,ENERGYSOLUTIONS EU LTD,4027869,"2,589.60"
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,DECC Only  - Shared Services - IT Shared Services,Operations - Finance and Procurement,FCO SERVICES,4027870,"7,560.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,Other Staff Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,ELAN COMPUTING LTD,4027871,"1,065.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,Other Staff Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,ELAN COMPUTING LTD,4027872,"1,089.67"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,External Training,Operations - HR,PRIORITY MANAGEMENT LONDON LTD,4027877,"2,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,External Training,Operations - HR,PRIORITY MANAGEMENT LONDON LTD,4027878,"2,475.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,Economic Consultancy and Research,EMI - OND,ATKINS LTD,4027879,"14,648.45"
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Aug-2011,Publications,Operations - Legal,GOVERNMENT LEGAL SERVICES SECRETARIAT,4027881,"26,603.20"
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Aug-2011,Hire of Agency Staff (Professional/Management),Private Office - Private Office,BROOK STREET (UK) LTD,4027883,561.24
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - OND,BROOK STREET (UK) LTD,4027884,768.44
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Nuclear Decommissioning & Security,BROOK STREET (UK) LTD,4027886,905.34
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Finance and Procurement,BROOK STREET (UK) LTD,4027887,568.04
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,Advertising,Operations - HR,COI COMMUNICATIONS,4027894,"10,702.57"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,Consultancy Advice Provided From Third Parties,EMI - OCCS,CAPITA SYMONDS LTD,4027895,"10,800.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Aug-2011,Coal Provision Payments Suspense,EMI - Energy Development,DECC COAL CENTRAL ACCOUNT,4027898,"346,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,Outsourced Technical Support (Programme),SEG Including Strategy - Energy Innovation Policy,MET OFFICE,4027902,"9,904.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,Technical Advice,EMI - OCCS,PARSONS BRINCKERHOFF LTD,4027903,"21,820.17"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,Technical Advice,EMI - OCCS,KPMG LLP,4027904,"88,609.67"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,Capital Grants - Other,ICCEE - Fuel Poverty & Smart Meters,CARILLION ENERGY SERVICES LTD,4027905,"348,182.56"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,Salaries - Secondees (Programme),EMI - OND,PINSENT MASONS LLP,4027906,"3,300.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Aug-2011,Other UK Travel & Subsistence,Operations - HR,HM TREASURY,4027908,"4,500.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,Capital Grants - Other,ICCEE - Fuel Poverty & Smart Meters,CARILLION ENERGY SERVICES LTD,4027910,"1,456,053.61"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,Capital Grants to Private Sector - Own Asset Creation,ICCEE - Fuel Poverty & Smart Meters,CARILLION ENERGY SERVICES LTD,4027911,"929,166.67"
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Aug-2011,External Training,Operations - HR,ILX GROUP PLC,4027912,"1,165.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,Cash Expenditure during the Year - Other Health Related Provisions,EMI - Energy Development,PRICEWATERHOUSECOOPERS LLP,4027913,"3,756.70"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,Technical Advice,EMI - OCCS,GREEN PARK INTERIM & EXECUTIVE LTD,4027915,"22,214.25"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,Payment for Shared Services,ICCEE - Green Deal,BRITISH STANDARDS INSTITUTION (BSI),4027916,"4,800.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,IT Software Licences,SEG Including Strategy - Energy Innovation Policy,THE MATHWORKS LTD,4027917,856.8
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,External Training,EMI - OND,PINSENT MASONS LLP,4027918,"1,200.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Aug-2011,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,NETWORKERS RECRUITMENT SERVICES LTD T/A NETWORKERS INTERNATIONAL PLC,4027920,"10,505.10"
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Aug-2011,Project Management Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,NETWORKERS RECRUITMENT SERVICES LTD T/A NETWORKERS INTERNATIONAL PLC,4027922,"5,017.68"
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Aug-2011,Stationery,Operations - Finance and Procurement,OFFICE DEPOT UK LTD,4027926,"1,723.68"
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Aug-2011,Other IT Costs (Programme),Operations - Communications,E CHRISTIAN & COMPANY LTD T/A EC GROUP,4027927,905.36
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Aug-2011,Outsourced Programme Management Services,EMI - Energy Development,MARITIME AND COASTGUARD AGENCY MCA,4027928,"32,682.66"
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Aug-2011,Payment for Shared Services,ICCEE - Green Deal,BRITISH STANDARDS INSTITUTION (BSI),4027930,"22,800.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Aug-2011,Hire of Conference Facilities (Programme),ICCEE - Fuel Poverty & Smart Meters,IET SERVICES LTD T/A THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,4027931,525.6
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Aug-2011,Standard Desktop Services,Central Budgets - Central Budgets,FUJITSU SERVICES LTD,4027932,"88,732.52"
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Aug-2011,Hire of Conference Facilities (Programme),ICCEE - Fuel Poverty & Smart Meters,IET SERVICES LTD T/A THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,4027934,817.2
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Aug-2011,Hire of Conference Facilities (Programme),ICCEE - Fuel Poverty & Smart Meters,IET SERVICES LTD T/A THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,4027936,540
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Aug-2011,Hire of Conference Facilities (Programme),ICCEE - Fuel Poverty & Smart Meters,IET SERVICES LTD T/A THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,4027939,"1,098.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Aug-2011,Hire of Conference Facilities (Programme),ICCEE - Fuel Poverty & Smart Meters,IET SERVICES LTD T/A THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,4027941,540
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Aug-2011,Hire of Conference Facilities (Programme),ICCEE - Fuel Poverty & Smart Meters,IET SERVICES LTD T/A THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,4027946,672
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Aug-2011,Hire of Conference Facilities (Programme),ICCEE - Fuel Poverty & Smart Meters,IET SERVICES LTD T/A THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,4027950,540
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Aug-2011,Hire of Conference Facilities (Programme),ICCEE - Fuel Poverty & Smart Meters,IET SERVICES LTD T/A THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,4027951,672
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Aug-2011,Hire of Conference Facilities (Programme),ICCEE - Fuel Poverty & Smart Meters,IET SERVICES LTD T/A THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,4027952,540
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Aug-2011,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,ALLEN LANE LTD,4027953,"2,658.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Aug-2011,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4027957,"2,942.28"
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Aug-2011,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4027958,720
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Aug-2011,Application Support Service,Operations - Finance and Procurement,PARITY RESOURCES LTD,4027960,"1,454.44"
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Aug-2011,External Training,EMI - OND,PINSENT MASONS LLP,4027961,"1,200.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Aug-2011,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,TFPL LTD,4027962,"2,400.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Aug-2011,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,TFPL LTD,4027963,"1,440.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Aug-2011,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,TFPL LTD,4027964,"2,400.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Aug-2011,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,TFPL LTD,4027967,"2,400.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Aug-2011,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,TFPL LTD,4027969,"2,400.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Aug-2011,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,TFPL LTD,4027970,"2,400.00"
