Department family,Entity,Date,Expense type,Expense area,Supplier,Supplier Postcode,Transaction number,Amount
HMRC,HMRC,01/06/2011,High Court Costs,Debt Management & Banking,RBSG Central,SE99 1AA,1900032286,40000
HMRC,HMRC,01/06/2011,High Court Costs,Debt Management & Banking,RBSG Central,SE99 1AA,1900035722,40000
HMRC,HMRC,01/06/2011,Dept forms Stock,Commercial Directorate,Banner Business Services Ltd,NR3 1PD,5100017585,36728.64
HMRC,HMRC,01/06/2011,Crown Sol's Off NI,Debt Management & Banking,Crown Solicitors Office,BT1 3JY,5100017840,43764.03
HMRC,HMRC,01/06/2011,Data Purchases,Excise Customs Stamps & Money,RM Data Solutions Ltd,SE1 0SU,5100017863,30864
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,Borough of Telford & Wrekin,TF3 4LP,5100018049,61067
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,Salford City Council,M27 5AW,5100018067,129034
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,Salford City Council,M27 5AW,5100018068,52826
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,Birmingham City Council,B4 7AB,5100018089,33099
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,Bournemouth Borough Council,BH2 6EB,5100018099,31239
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,Bradford Council,BD1 1HX,5100018101,35073
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,Bradford Council,BD1 1HX,5100018102,54558
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,Nottingham City Council,NG1 4XX,5100018109,131115
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,Bristol City Council,BS99 1ZG,5100018117,32908
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,Cardiff County Council,CF10 3WD,5100018121,90308
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,Sefton Mbc,L20 3FD,5100018154,37022
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,Sheffield City Council,S1 1UY,5100018155,37671
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,City of  Westminster,SW1E 6QY,5100018164,114434
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,City of  Westminster,SW1E 6QY,5100018167,41903
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,Coventry City Council,CV1 5RR,5100018170,52826
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,Croydon Council,CR9 1BQ,5100018174,58437
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,South Lanarkshire Council,ML3 0XJ,5100018178,93095
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,Southend Borough Council,SS2 6AN,5100018182,51527
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,Sunderland City Council,SR5 9BJ,5100018205,74043
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,Dundee City Council,DD1 3YN,5100018213,31306
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,Ipswich Borough Council,IP1 2DE,5100018236,26630
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,Leicester City Council,LE1 6HL,5100018247,25114
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,Liverpool City Council,L69 2DX,5100018257,48063
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,Liverpool City Council,L69 2DX,5100018258,25547
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,Liverpool City Council,L69 2DX,5100018259,33558
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,London Borough of Camden,WC1H 8NH,5100018266,243677
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,West Lindsey District Council,NG34 4GL,5100018270,28795
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,West Lothian Council,EH48 1TT,5100018275,41525
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,Manchester City Council,M60 2JR,5100018291,51094
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,Woking Borough  Council,GU21 6YL,5100018293,42846
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,Worthing Borough Council,BN11 1JN,5100018301,74972
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,Newcastle City Council,NE99 1UP,5100018307,337307
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,City Of London,EC2P 2EJ,5100018330,81346
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,City Of London,EC2P 2EJ,5100018331,50727
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,Leeds City Council,LS2 8JR,5100018337,37888
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,Council Of The Borough,NE27 9AF,5100018341,29661
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,City Of Edinburgh Council,EH1 1UF,5100018368,27842
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,City Of Edinburgh Council,EH1 1UF,5100018370,34380
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,London Borough of Southwark,BR1 3YE,5100018376,150627
HMRC,HMRC,01/06/2011,Business Rates,Estates & Support Services,London Borough of Southwark,BR1 3YE,5100018377,70706
HMRC,HMRC,01/06/2011,100 PS Service Charg,Estates & Support Services,Exchequer Partnership Plc,M41 7HG,5100018381,2249647.07
HMRC,HMRC,01/06/2011,STEPS FUP,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100018392,17362235.95
HMRC,HMRC,01/06/2011,Business Consultancy,Finance & Internal Audit,PricewaterhouseCoopers LLP,WC2N 6RH,5100018468,198069.6
HMRC,HMRC,01/06/2011,Data output prod,Information Management Solutions,Aspire,TF3 3BD,5100018803,56866619.02
HMRC,HMRC,01/06/2011,IT Software Capgemin,Information Management Solutions,Aspire,TF3 3BD,5100018803,35456115.61
HMRC,HMRC,01/06/2011,IT Hardware,Information Management Services,Aspire,TF3 3BD,5100018803,15913.01
HMRC,HMRC,01/06/2011,IT Hardware,Information Management Services,Aspire,TF3 3BD,5100018803,8303.08
HMRC,HMRC,01/06/2011,IT Hardware,Information Management Services,Aspire,TF3 3BD,5100018803,6798.22
HMRC,HMRC,01/06/2011,IT Hardware,Information Management Services,Aspire,TF3 3BD,5100018803,994.45
HMRC,HMRC,01/06/2011,IT Hardware,Information Management Services,Aspire,TF3 3BD,5100018803,994.45
HMRC,HMRC,01/06/2011,IT Hardware,Information Management Services,Aspire,TF3 3BD,5100018803,186.64
HMRC,HMRC,02/06/2011,Mail and Fulfilment,Business Customer Unit,BSS Scotland Ltd,G73 1DR,5100018753,38152.18
HMRC,HMRC,02/06/2011,Govt dept services,Risk & Intelligence,Foreign and Commonwealth Office,MK10 1PX,5100018762,35509.71
HMRC,HMRC,02/06/2011,Business Rates,Estates & Support Services,South Lanarkshire Council,ML3 0XJ,5100018817,58368.4
HMRC,HMRC,02/06/2011,Business Rates,Estates & Support Services,Glasgow City Council,G1 1JE,5100018818,73610
HMRC,HMRC,02/06/2011,Electricity,Estates & Support Services,EDF Energy,EX1 3UT,5100018847,253853.81
HMRC,HMRC,02/06/2011,Electricity,Estates & Support Services,EDF Energy,EX1 3UT,5100018847,204.9
HMRC,HMRC,02/06/2011,Business Rates,Estates & Support Services,HM Treasury,NR7 0HS,5100019192,2672334.64
HMRC,HMRC,03/06/2011,Dept forms Stock,Commercial Directorate,Paragon UK (Print) Ltd,WF10 5QS,5100019102,27912.6
HMRC,HMRC,03/06/2011,External Database IS,PAYE SA & NICs,Nixon Brooke & Co Ltd,GU2 7YG,5100019139,55377.58
HMRC,HMRC,03/06/2011,Govt dept services,Risk & Intelligence,Foreign and Commonwealth Office,MK10 1PX,5100019165,66160.37
HMRC,HMRC,03/06/2011,Software coding,Information Management Solutions,Accenture (UK) Limited,EC3M 3BD,5100019308,16014
HMRC,HMRC,03/06/2011,Software coding,Information Management Solutions,Accenture (UK) Limited,EC3M 3BD,5100019308,12717
HMRC,HMRC,03/06/2011,Software coding,Information Management Solutions,Accenture (UK) Limited,EC3M 3BD,5100019308,11775
HMRC,HMRC,03/06/2011,Software coding,Information Management Solutions,Accenture (UK) Limited,EC3M 3BD,5100019308,1236
HMRC,HMRC,03/06/2011,Business Rates,Estates & Support Services,Sefton Mbc,L20 3FD,5100019317,114958
HMRC,HMRC,03/06/2011,Business Rates,Estates & Support Services,Fife Council,KY7 5LT,5100019319,29703
HMRC,HMRC,03/06/2011,Rent,Estates & Support Services,Zurich Assurance Ltd,SB3 9AP,5100019351,107749.34
HMRC,HMRC,03/06/2011,Landlord Charges,Estates & Support Services,Zurich Assurance Ltd,SB3 9AP,5100019351,56133
HMRC,HMRC,03/06/2011,Landlord Charges,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100019359,25470.65
HMRC,HMRC,03/06/2011,Security services,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100019365,79435.5
HMRC,HMRC,03/06/2011,Landlord Charges,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100019377,24622.27
HMRC,HMRC,03/06/2011,Rent,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100019377,20126.51
HMRC,HMRC,03/06/2011,Rent,Estates & Support Services,2001/02 Balliol No 2 Syndicate,RH16 4NG,5100019378,275804.1
HMRC,HMRC,03/06/2011,Min AW non-struc VAT,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100019381,47429.54
HMRC,HMRC,03/06/2011,Rent,Estates & Support Services,Mapeley Estates Ltd,SE1 0TA,5100019385,50341.2
HMRC,HMRC,03/06/2011,Rent,Estates & Support Services,Mapeley Estates Ltd,SE1 0TA,5100019389,37443.9
HMRC,HMRC,03/06/2011,Rent,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100019390,120000
HMRC,HMRC,03/06/2011,Build/cont insurance,Estates & Support Services,Colliers Cre,W1U 1HL,5100019395,63450
HMRC,HMRC,03/06/2011,Landlord Charges,Estates & Support Services,Colliers Cre,W1U 1HL,5100019395,19746.9
HMRC,HMRC,03/06/2011,Rent,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100019403,56000
HMRC,HMRC,03/06/2011,Landlord Charges,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100019403,53996.14
HMRC,HMRC,03/06/2011,Landlord Charges,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100019416,30810.7
HMRC,HMRC,03/06/2011,Rent,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100019416,27231.99
HMRC,HMRC,06/06/2011,County Court Proceed,Debt Management & Banking,Her Majesty's Court Service,#,5100019616,84335
HMRC,HMRC,06/06/2011,Landlord Charges,Estates & Support Services,Lambert Smith Hampton Group Ltd,W1D 1NN,5100019652,27815.7
HMRC,HMRC,06/06/2011,Landlord Charges,Estates & Support Services,Fasset Business & Property,PO9 1SA,5100019669,123170.41
HMRC,HMRC,06/06/2011,Landlord Charges,Estates & Support Services,Fasset Business & Property,PO9 1SA,5100019670,175863.33
HMRC,HMRC,06/06/2011,Business Rates,Estates & Support Services,Liverpool City Council,L69 2DX,5100019746,311760
HMRC,HMRC,06/06/2011,Legal Serv's Credit,Debt Management & Banking,Experian Ltd,NG80 1TH,5100019748,262306.8
HMRC,HMRC,06/06/2011,Legal Serv's Credit,Risk & Intelligence,Experian Ltd,NG80 1TH,5100019748,178107.6
HMRC,HMRC,06/06/2011,Legal Serv's Credit,Benefits & Credits Delivery,Experian Ltd,NG80 1TH,5100019748,61903.2
HMRC,HMRC,06/06/2011,Legal Serv's Credit,Criminal Investigations,Experian Ltd,NG80 1TH,5100019748,30201.6
HMRC,HMRC,06/06/2011,Legal Serv's Credit,Specialist Investigations (SI),Experian Ltd,NG80 1TH,5100019748,15100.8
HMRC,HMRC,06/06/2011,Legal Serv's Credit,Charities Assets & Residence,Experian Ltd,NG80 1TH,5100019748,1600.8
HMRC,HMRC,06/06/2011,Legal Serv's Credit,S&ID,Experian Ltd,NG80 1TH,5100019748,437.04
HMRC,HMRC,06/06/2011,Vehicle leasing,Commercial Directorate,Inchcape Fleet Solutions,P06 4RP,5100019775,76826.85
HMRC,HMRC,07/06/2011,Crown Sol's Off NI,Debt Management & Banking,Crown Solicitors Office,BT1 3JY,5100019794,34555.21
HMRC,HMRC,07/06/2011,Crown Sol's Off NI,Debt Management & Banking,Crown Solicitors Office,BT1 3JY,5100019794,478.23
HMRC,HMRC,07/06/2011,Samplng & Analytical,Specialist Investigations (SI),L G C Ltd,TW11 0LY,5100019931,56662.44
HMRC,HMRC,07/06/2011,Debt collection serv,Debt Management & Banking,iQor holdings Limited,PR1 3EL,5100019935,338748.48
HMRC,HMRC,07/06/2011,Rent,Estates & Support Services,Cording Asset Management LLP,W1S 3PW,5100020056,78750
HMRC,HMRC,07/06/2011,Rent,Estates & Support Services,Buy As You View Limited,CF31 3RY,5100020081,38425.8
HMRC,HMRC,07/06/2011,Maj AW struc non-VAT,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100020088,27324.3
HMRC,HMRC,07/06/2011,Rent,Estates & Support Services,Jaymar Estates Ltd,M6 6AR,5100020089,102300
HMRC,HMRC,07/06/2011,Rent,Estates & Support Services,Cheval Properties Ltd,W1K 6ZD,5100020090,30577.5
HMRC,HMRC,07/06/2011,Maj AW non-struc VAT,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100020091,64654.06
HMRC,HMRC,07/06/2011,Rent,Estates & Support Services,Cheval Properties Ltd,W1K 6ZD,5100020093,35093.26
HMRC,HMRC,07/06/2011,Forensic Services,Criminal Investigations,CCL Forensics Limited,CV37 6NW,5100020219,182774.46
HMRC,HMRC,07/06/2011,Electricity,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100020420,1160499.79
HMRC,HMRC,07/06/2011,Gas,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100020420,312890.89
HMRC,HMRC,07/06/2011,Gas,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100020420,180526.55
HMRC,HMRC,07/06/2011,Water,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100020420,136577.16
HMRC,HMRC,07/06/2011,Electricity,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100020420,109903.21
HMRC,HMRC,07/06/2011,Water,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100020420,49096.48
HMRC,HMRC,07/06/2011,Oil,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100020420,36587.05
HMRC,HMRC,07/06/2011,Electricity,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100020420,3620.12
HMRC,HMRC,07/06/2011,Oil,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100020420,1177.22
HMRC,HMRC,07/06/2011,Gas,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100020420,101.13
HMRC,HMRC,07/06/2011,Postal delivery serv,Commercial Directorate,Royal Mail Wholesale,EC4Y 0HQ,5100020423,3042841.66
HMRC,HMRC,07/06/2011,Postal delivery serv,Commercial Directorate,Royal Mail Wholesale,EC4Y 0HQ,5100020432,-102162.35
HMRC,HMRC,08/06/2011,Debt collection serv,Debt Management & Banking,Commercial Collection Services,CR7 6YY,5100020365,92148.95
HMRC,HMRC,08/06/2011,Govt dept services,Risk & Intelligence,Foreign and Commonwealth Office,MK10 1PX,5100020373,174207.24
HMRC,HMRC,08/06/2011,Gov Bank Serv Charge,Finance & Internal Audit,RBS - Natwest,EC2M 4RB,5100020383,162178.34
HMRC,HMRC,08/06/2011,Gov Bank Serv Charge,Finance & Internal Audit,RBS - Natwest,EC2M 4RB,5100020383,763.8
HMRC,HMRC,08/06/2011,Vehicle leasing,Commercial Directorate,Inchcape Fleet Solutions,P06 4RP,5100020397,19715.23
HMRC,HMRC,08/06/2011,Vehicle leasing,Commercial Directorate,Inchcape Fleet Solutions,P06 4RP,5100020397,18960.71
HMRC,HMRC,08/06/2011,Maj AW non-struc VAT,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100020544,35893.02
HMRC,HMRC,08/06/2011,Maj AW struc non-VAT,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100020553,200441.09
HMRC,HMRC,08/06/2011,Occupational health and safety services,People Function,Capita Health Solutions Limited,AB25 2ZP,5100020580,150405.68
HMRC,HMRC,08/06/2011,Legal Service Sol's,Specialist Investigations (SI),Howes Percival Solicitors,NR3 1DD,5100020693,180613.8
HMRC,HMRC,08/06/2011,Legal Serv's Credit,Specialist Investigations (SI),Howes Percival Solicitors,NR3 1DD,5100020693,83393.77
HMRC,HMRC,08/06/2011,Legal Service Sol's,Specialist Investigations (SI),Howes Percival Solicitors,NR3 1DD,5100020701,88451.54
HMRC,HMRC,08/06/2011,Legal Serv's Credit,Specialist Investigations (SI),Howes Percival Solicitors,NR3 1DD,5100020701,613.05
HMRC,HMRC,09/06/2011,High Court Costs,Debt Management & Banking,RBSG Central,SE99 1AA,1900039700,40000
HMRC,HMRC,09/06/2011,Gov Bank Serv Charge,Finance & Internal Audit,RBS - Natwest,EC2M 4RB,5100020954,178517.19
HMRC,HMRC,09/06/2011,Gov Bank Serv Charge,Finance & Internal Audit,RBS - Natwest,EC2M 4RB,5100020954,763.8
HMRC,HMRC,09/06/2011,Court Fees,Debt Management & Banking,The Insolvency Service,B2 4UP,5100020984,263320
HMRC,HMRC,09/06/2011,Debt collection serv,Debt Management & Banking,Commercial Collection Services,CR7 6YY,5100021000,59843.08
